Country Code,Country Name,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Child employment in agriculture, male (% of male economically active children ages 7-14)","Child employment in manufacturing, female (% of female economically active children ages 7-14)","Child employment in manufacturing, male (% of male economically active children ages 7-14)","Child employment in services, female (% of female economically active children ages 7-14)","Child employment in services, male (% of male economically active children ages 7-14)","Children in employment, female (% of female children ages 7-14)","Children in employment, male (% of male children ages 7-14)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Contraceptive prevalence, any methods (% of women ages 15-49)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Contributing family workers, male (% of male employment) (modeled ILO estimate)","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","Employment in agriculture, male (% of male employment) (modeled ILO estimate)","Employment in industry, male (% of male employment) (modeled ILO estimate)","Employment in services, female (% of female employment) (modeled ILO estimate)","Employment in services, male (% of male employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",Female headed households (% of households with a female head),"Fertility rate, total (births per woman)","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Part time employment, female (% of total female employment)","Part time employment, male (% of total male employment)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",Wanted fertility rate (births per woman)
NER,Niger,1963,209.3538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.505,0,0,35.724,34.788,476.679,518.95,0,0,0,0,26.03516,23.34835,0,0,0,0,0,0,0,0,0,0
SDN,Sudan,2011,86.0804,0,0,0,0,0,0,0,0,0,0,0,0,30.22100067,10.22999954,2.65199995,6.243000031,42.34999847,52.70299912,17.61700058,23.16900063,29.68499947,17.55900002,65.48999786,9.404999733,33.63600159,0,4.825,23.07999992,72.28800201,64.613,61.458,206.139,264.373,0,0,50.97800064,46.1969986,66.2173,59.45505,0,23.91799927,9.404999733,43.47700119,21.54899979,48.32500076,39.95400047,49.02199936,53.8030014,0
SEN,Senegal,1989,136.5624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.636,0,0,58.422,55.257,224.434,285.455,0,0,0,0,58.99856,51.60102,0,0,0,0,0,0,0,0,0,0
SLE,Sierra Leone,2016,115.5808,0,0,0,0,0,0,0,0,0,0,0,0,5.224999905,6.03399992,2.585000038,2.148999929,59.76900101,61.42100143,11.50300026,39.38700104,27.07500076,55.13600159,55.63399887,31.55900002,20.37199974,25.1,4.457,57.29800034,58.82699966,52.417,51.258,388.19,399.368,0,0,95.34300232,84.55400085,43.70601,42.04672,35,3.773999929,5.427999973,5.877999783,14.34500027,92.75799704,82.40400267,4.657000065,15.4460001,0
SSA,Sub-Saharan Africa (excluding high income),1968,152.0089959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.722203854,0,0,45.13963829,42.26342861,385.3557239,443.475805,0,0,0,0,38.28458775,32.65653364,0,0,0,0,0,0,0,0,0,0
SYC,Seychelles,1961,148.5742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.118,279.528,0,0,0,0,65.13297,55.46508,0,0,0,0,0,0,0,0,0,0
SYC,Seychelles,1965,157.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.257,266.669,0,0,0,0,68.56053,57.57058,0,0,0,0,0,0,0,0,0,0
TSS,Sub-Saharan Africa (IDA & IBRD countries),1973,153.4055725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.791841823,0,0,47.32591006,44.24139686,363.2678119,424.0341166,0,0,0,0,41.21078637,35.0193878,0,0,0,0,0,0,0,0,0,0
TZA,Tanzania,2012,122.709,0,0,0,0,0,0,0,0,0,0,0,0,41.99900055,27.35300064,1.187999964,3.14199996,73.53500366,67.73400116,8.383000374,23.30699921,23.88299942,77.98400116,83.52100372,63.09400177,65.79100037,24.3,5.287,81.35900116,85.51499939,64.386,60.679,248.24,325.894,0,0,88.47599793,77.01799774,64.09631,55.3847,24.1,4.147999763,2.33100009,7.743999958,5.268000126,87.28800201,73.87599945,11.52400017,22.98200035,0
ZAF,South Africa,1991,91.6432,0,0,0,0,0,0,0,0,0,0,0,0,1.771999955,0.765999973,4.340000153,9.762999535,17.44799995,16.27700043,33.78900147,69.10500336,49.93299866,31.76399994,54.38999939,17.90099907,27.86000061,0,3.525,41.86600113,65.88200378,66.15,58.645,223.934,349.235,0,0,16.7140007,20.11100006,64.77009,48.20732,0,24.12999916,17.44300079,43.6969986,32.92100143,12.37400019,10.3470003,83.28600311,79.88899994,0
ZAF,South Africa,2006,60.2924,0,0,0,0,0,0,0,0,0,0,0,0,0.953000009,0.370999992,4.945000172,9.079999924,7.732999802,9.076999664,34.22499847,78.72799683,56.69800186,33.46799851,50.52500153,12.72999954,19.17099953,0,2.655,46.13399887,62.23300171,55.12,50.209,462.216,569.22,10.93000031,5.380000114,21.62199974,18.69199944,44.07943,31.28537,0,27.45400047,18.81299973,52.77700043,41.71900177,16.67699999,9.612000167,78.37799835,81.30799866,0
ZMB,Zambia,1961,183.1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.169,0,0,47.041,44.008,363.386,420.184,0,0,0,0,40.92783,35.27496,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,1985,159.5456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,52.25,47.482,326.986,396.321,0,0,0,0,47.14975,39.10602,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,1994,144.1624,0,0,0,0,0,0,0,0,0,0,0,11.4,24.91900063,11.45800018,0.815999985,1.769999981,47.0019989,53.95600128,7.611000061,50.21699905,38.43299866,44.82699966,79.63700104,37.10800171,59.70299912,15.1,6.298,48.36500168,83.30200195,51.802,48.94,364.838,409.279,0,0,90.68000031,73.5019989,44.61624,39.57881,35,7.315999985,4.399000168,10.34500027,5.723999977,89.86499977,71.73199844,9.319999695,26.49799919,4.4
COD,"Congo, Dem. Rep.",1991,128.2514,0,0,0,0,0,0,0,0,0,0,0,7.7,14.03299999,7.708000183,2.397000074,4.697999954,90.70700073,80.6969986,8.748000145,4.052999973,10.5539999,68.83899689,69.67199707,46.23600006,37.22999954,0,6.758,71.86599731,71.84400177,50.648,47.772,330.229,384.004,0,0,67.83699799,60.93799973,45.81554,40.20799,0,4.210999966,3.023999929,7.627999783,6.581999779,65.44000149,56.24000168,32.1629982,39.06200028,0
GNB,Guinea-Bissau,1977,109.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.249,0,0,45.819,42.801,352.848,416.813,0,0,0,0,40.56929,34.15568,0,0,0,0,0,0,0,0,0,0
